provider_code,institution_name,cricos_course_code,course_name,dual_qualification,foe_broad,foe_narrow,foe_detailed,course_level,foundation_studies,work_component,duration_weeks,course_language,tuition_fee,expired
00026A,The University of Sydney,031911D,Master of Project Management,No,08 - Management and Commerce,0803 - Business and Management,080315 - Project Management,Masters Degree (Coursework),No,No,52,English,"$57,900.00",No
00026A,The University of Sydney,031912C,Graduate Certificate in Project Management,No,08 - Management and Commerce,0803 - Business and Management,080315 - Project Management,Graduate Certificate,No,No,26,English,"$28,950.00",No
00026A,The University of Sydney,031913B,Graduate Diploma in Project Management,No,08 - Management and Commerce,0803 - Business and Management,080315 - Project Management,Graduate Diploma,No,No,52,English,"$57,900.00",No
00026A,The University of Sydney,032440M,Bachelor of Resource Economics,No,"05 - Agriculture, Environmental and Related Studies",0501 - Agriculture,"050199 - Agriculture, n.e.c.",Bachelor Degree,No,Yes,208,English,"$213,360.00",No
00026A,The University of Sydney,032885D,Bachelor of Engineering / Bachelor of Laws,Yes,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",Bachelor Degree,No,Yes,312,English,"$364,000.00",No
00026A,The University of Sydney,032886C,Doctor of Philosophy in Visual Arts,No,10 - Creative Arts,1003 - Visual Arts and Crafts,"100300 - Visual Arts and Crafts, n.f.d.",Doctoral Degree,No,No,208,English,"$217,300.00",No
00026A,The University of Sydney,033069F,Bachelor of Education (Secondary Mathematics) / Bachelor of Science,Yes,07 - Education,0701 - Teacher Education,070105 - Teacher Education: Secondary,Bachelor Degree,No,Yes,260,English,"$282,900.00",No
00026A,The University of Sydney,034606M,Exchange Program (One Year),No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",Non AQF Award,No,No,52,English,,No
00026A,The University of Sydney,034607K,Exchange Program (One Semester),No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",Non AQF Award,No,No,26,English,,No
00026A,The University of Sydney,034616J,Study Abroad (One Year),No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",Non AQF Award,No,No,52,English,,No
